,channel
0,80ArAr(ArAr80)
1,HistoneH3(In113)
2,<EMPTY>(In115)
3,129Xe(Xe129)
4,AlphaSMA(Pr141)
5,iNOS(Nd142)
6,cKIT(Nd143)
7,CD206(Nd144)
8,TTF1(Nd145)
9,CD16(Nd146)
10,CD163(Sm147)
11,CD14(Nd148)
12,CD11b(Sm149)
13,CD68(Nd150)
14,CD31(Eu151)
15,CD45(Sm152)
16,SARSCoV2S1(Eu153)
17,Vimentin(Sm154)
18,C5bC9(Gd155)
19,CD4(Gd156)
20,pSTAT3(Gd158)
21,CD56(Tb159)
22,IL6(Gd160)
23,CD20(Dy161)
24,CD8a(Dy162)
25,CD15(Dy163)
26,Arginase1(Dy164)
27,pCREB(Ho165)
28,IL1beta(Er166)
29,CD123(Er167)
30,Ki67(Er168)
31,CollagenTypeI(Tm169)
32,CD3(Er170)
33,CD57(Yb171)
34,CleavedCaspase3(Yb172)
35,MPO(Yb173)
36,Keratin818(Yb174)
37,MastCellTryptase(Lu175)
38,CD11c(Yb176)
39,190BCKG(BCKG190)
40,DNA1(Ir191)
41,DNA2(Ir193)
42,<EMPTY>(Pb204)
